data,roll(fi) angle,pitch(theta) angle
1970-01-01 13:33:31,-178.6542,-2.5143
1970-01-01 13:33:41,-178.3848,-2.3634
1970-01-01 13:33:51,-178.9093,-2.4667
1970-01-01 13:34:01,-178.8485,-2.4166
1970-01-01 13:34:11,-179.0062,-2.4537
1970-01-01 13:34:21,-178.9358,-2.5404
1970-01-01 13:34:31,-178.5417,-3.1465
1970-01-01 13:34:41,-178.8438,-3.6368
1970-01-01 13:34:51,-178.9477,-3.3865
1970-01-01 13:35:01,-179.2415,-3.438
1970-01-01 13:35:11,-178.7218,-3.7129
1970-01-01 13:35:21,-178.6597,-4.3619
1970-01-01 13:35:31,-178.8542,-4.4022
1970-01-01 13:35:41,-179.0656,-4.8935
1970-01-01 13:35:51,-179.2439,-4.9317
1970-01-01 13:36:01,-179.1231,-4.9565
1970-01-01 13:36:11,-178.6718,-5.0681
1970-01-01 13:36:21,-178.9071,-5.2765
1970-01-01 13:36:31,-179.5965,-5.8017
1970-01-01 13:36:41,-178.8983,-6.2945
1970-01-01 13:36:51,-179.3027,-6.4226
1970-01-01 13:37:01,-179.5289,-6.5661
1970-01-01 13:37:11,180.0,-5.5993
1970-01-01 13:37:21,-179.5235,-4.2801
1970-01-01 13:37:31,-179.0627,-4.5011
1970-01-01 13:37:41,-178.2695,-5.2337
1970-01-01 13:37:51,-178.8904,-5.9927
1970-01-01 13:38:01,-179.1731,-6.5857
1970-01-01 13:38:11,-179.4717,-7.1825
1970-01-01 13:38:21,-179.1186,-7.9399
1970-01-01 13:38:31,-178.7699,-8.6605
1970-01-01 13:38:41,-179.1849,-9.0644
1970-01-01 13:38:51,-179.1346,-9.2085
1970-01-01 13:39:01,-179.5895,-9.5286
1970-01-01 13:39:11,-179.47,-10.0244
1970-01-01 13:39:21,-179.528,-10.2162
1970-01-01 13:39:31,-179.7637,-10.4554
1970-01-01 13:39:41,-179.7074,-10.7573
1970-01-01 13:39:51,-179.8235,-11.7165
1970-01-01 13:40:01,-179.2985,-11.9261
1970-01-01 13:40:11,-179.6485,-12.6774
1970-01-01 13:40:21,-179.6499,-12.6829
1970-01-01 13:40:31,-179.71,-12.774
